<program, PALAVRA_RESERVADA, linha 1, coluna 1>
<teste2, IDENTIFICADOR, linha 1, coluna 9>
<;, SIMBOLO_ESPECIAL, linha 1, coluna 15>
<var, PALAVRA_RESERVADA, linha 2, coluna 1>
<x, IDENTIFICADOR, linha 2, coluna 5>
<:, SIMBOLO_ESPECIAL, linha 2, coluna 6>
<integer, PALAVRA_RESERVADA, linha 2, coluna 8>
<;, SIMBOLO_ESPECIAL, linha 2, coluna 15>
<begin, PALAVRA_RESERVADA, linha 5, coluna 1>
<x, IDENTIFICADOR, linha 6, coluna 3>
<:=, ATRIBUICAO, linha 6, coluna 5>
<10, NUM_INTEIRO, linha 6, coluna 8>
<;, SIMBOLO_ESPECIAL, linha 6, coluna 10>
<end, PALAVRA_RESERVADA, linha 7, coluna 1>
<., FIM, linha 7, coluna 4>
